Barcelona,Real Madrid,Ath Madrid,Valencia,Sevilla,Villarreal,Ath Bilbao,Celta,Malaga,Vallecano,Espanol,Sociedad,Elche,Getafe,Levante,Eibar,Granada,La Coruna,Almeria,Cordoba
3,3,1,1,1,3,0,3,3,1,1,0,0,0,0,3,3,0,1,0
6,3,4,4,4,3,3,4,3,2,1,3,1,3,0,3,4,1,1,1
9,3,7,7,7,4,3,5,4,2,1,4,4,3,1,3,5,4,2,2
12,6,8,10,10,7,3,6,5,2,2,4,4,3,1,6,8,4,5,2
13,9,11,13,13,8,3,9,6,5,5,4,4,3,4,7,8,4,5,2
16,12,14,14,13,8,4,12,6,8,6,5,4,6,4,8,8,4,8,3
19,15,14,17,16,11,4,12,9,8,9,5,5,7,5,9,8,4,9,4
22,18,17,17,19,14,5,13,12,11,9,5,5,10,5,9,8,7,9,4
22,21,20,20,22,14,8,16,15,11,10,6,5,10,5,10,9,8,9,5
22,24,23,23,22,14,11,19,18,11,10,6,8,13,8,13,9,8,9,5
25,27,23,24,23,15,12,20,21,11,11,9,9,14,9,13,10,9,9,6
28,30,26,24,23,18,15,20,21,14,11,10,10,14,12,13,11,10,10,7
31,33,29,24,26,21,18,20,21,17,14,13,10,14,12,16,11,10,10,7
34,36,32,25,29,24,18,20,24,17,14,13,10,15,13,19,12,10,10,10
35,39,32,28,30,27,19,20,27,17,17,14,10,16,14,20,12,13,10,11
38,39,38,31,30,30,19,20,30,17,20,15,10,17,15,20,13,13,13,11
38,39,38,34,33,31,19,20,30,20,20,18,11,17,16,23,13,17,16,14
41,42,38,35,36,32,19,21,31,20,20,19,14,17,16,27,14,17,16,18
44,45,44,38,39,35,19,21,31,23,23,19,17,17,16,27,14,17,16,18
47,48,44,41,39,38,20,21,32,23,26,22,17,20,16,27,15,21,16,18
50,54,47,41,42,38,23,24,35,23,26,22,17,20,16,27,18,21,19,18
53,54,50,44,42,41,23,25,35,23,26,23,20,23,19,27,18,24,22,18
56,57,50,47,45,41,24,28,35,26,29,24,23,23,19,27,19,24,23,18
56,60,53,50,45,44,27,31,38,26,29,27,23,26,22,27,19,24,23,18
59,61,54,53,46,45,30,32,41,29,32,27,24,26,22,27,19,25,24,18
62,61,55,54,49,48,33,32,41,29,32,30,27,29,25,27,22,25,24,18
65,64,56,57,52,49,36,32,44,32,33,33,27,29,25,27,22,25,25,18
68,64,59,60,55,49,39,35,44,35,34,36,27,29,25,28,23,26,25,18
71,67,62,61,58,50,39,35,45,38,35,37,28,32,28,28,23,26,25,18
74,70,65,62,61,50,40,36,45,38,38,37,28,35,28,31,24,27,25,19
75,73,66,65,62,51,40,39,46,38,41,38,31,36,28,31,24,28,28,19
78,76,69,65,63,52,43,42,46,41,42,38,34,36,29,31,25,28,28,20
81,79,72,68,66,53,46,42,47,41,42,39,34,36,32,31,25,29,31,20
84,82,75,69,69,53,47,45,47,42,45,40,37,36,35,31,25,29,31,20
87,85,76,72,69,54,48,46,47,43,46,43,40,36,35,31,28,30,32,20
90,86,77,73,70,57,49,47,50,46,49,43,40,36,36,31,31,31,32,20
93,89,77,74,73,60,52,48,50,49,49,43,40,37,36,32,34,34,32,20
94,92,78,77,76,60,55,51,50,49,49,46,41,37,37,35,35,35,32,20
