Barcelona,Real Madrid,Ath Madrid,Villarreal,Ath Bilbao,Celta,Sevilla,Malaga,Sociedad,Betis,Valencia,Las Palmas,Eibar,Espanol,La Coruna,Granada,Sp Gijon,Vallecano,Getafe,Levante
3,1,3,1,0,3,1,1,1,1,1,0,3,3,1,0,1,1,0,0
6,4,6,4,0,6,1,1,2,1,2,1,6,3,2,3,2,1,0,1
9,7,6,7,3,7,2,2,2,4,5,2,7,3,5,3,2,1,0,2
12,10,9,10,3,10,2,2,2,5,6,2,7,6,5,3,5,4,3,2
12,13,12,13,3,13,2,2,5,5,6,5,8,9,8,3,5,7,3,3
15,14,12,16,4,14,5,3,6,8,9,5,9,9,11,3,5,7,6,3
15,15,13,16,7,15,8,6,6,11,9,5,12,9,12,4,8,7,7,6
18,18,16,16,8,18,9,6,6,11,12,5,13,12,13,5,9,7,10,6
21,21,19,17,11,18,12,9,9,12,12,6,13,12,13,6,9,10,10,6
24,24,20,20,14,21,12,9,9,12,15,6,16,13,14,7,12,10,10,6
27,24,23,20,17,21,15,9,9,15,18,9,19,13,15,7,12,13,10,7
30,24,26,21,17,21,15,9,12,15,19,10,20,16,18,10,12,14,11,10
33,27,29,21,20,24,18,10,12,18,19,10,20,16,21,11,12,14,14,10
34,30,32,24,21,25,19,11,15,19,20,10,20,17,22,11,15,14,14,11
35,30,35,27,21,28,22,14,16,19,21,13,21,17,23,14,15,14,15,11
38,33,35,30,24,31,23,17,16,20,22,13,21,20,26,14,15,14,16,11
38,36,41,33,27,31,26,20,16,20,22,16,24,20,27,14,15,14,17,11
42,37,41,36,28,31,26,23,17,20,23,17,27,21,27,17,15,15,20,11
42,40,44,39,28,34,29,24,20,20,23,18,30,21,27,17,15,15,23,14
45,43,47,40,28,34,32,24,21,21,24,18,33,21,28,17,18,16,26,14
51,44,48,41,31,34,33,24,21,22,25,18,33,22,29,20,18,19,26,17
51,47,48,44,34,34,36,30,24,22,25,21,33,22,30,20,21,20,26,17
54,50,51,45,35,35,37,30,27,25,25,21,33,22,31,20,23,24,26,17
60,53,54,48,35,35,40,30,30,26,28,21,36,22,32,20,23,24,26,17
63,54,55,49,35,38,41,31,33,27,31,21,36,25,32,20,24,25,26,20
66,54,58,52,38,41,41,32,34,28,31,24,36,28,32,23,24,26,26,20
69,57,61,53,41,42,44,32,34,31,34,27,36,28,32,26,24,26,26,20
72,60,64,53,44,42,45,33,35,34,34,30,36,31,33,26,24,26,27,21
75,63,67,53,47,45,48,36,35,34,34,30,37,32,33,27,24,27,27,24
76,66,67,54,47,48,48,39,35,34,34,33,38,35,36,28,27,28,28,24
76,69,70,57,48,49,48,40,38,34,34,36,38,36,37,29,28,31,28,25
76,72,73,60,51,52,48,41,41,37,37,39,38,36,37,30,28,31,28,25
76,75,76,60,54,53,49,41,41,38,40,40,41,36,38,30,29,34,28,28
79,78,79,60,54,54,49,42,41,41,43,40,41,37,38,33,32,35,31,28
82,81,82,61,55,57,52,42,42,41,44,43,42,37,39,33,32,35,32,29
85,84,85,64,58,57,52,45,42,41,44,43,42,40,39,36,35,35,35,29
88,87,85,64,59,60,52,45,45,42,44,44,43,40,42,39,36,35,36,32
91,90,88,64,62,60,52,48,48,45,44,44,43,43,42,39,39,38,36,32
