Real Madrid,Barcelona,Ath Madrid,Sevilla,Villarreal,Sociedad,Ath Bilbao,Espanol,Alaves,Eibar,Malaga,Valencia,Celta,Betis,Las Palmas,La Coruna,Leganes,Sp Gijon,Osasuna,Granada
3,3,1,3,1,0,0,0,1,0,1,0,0,0,3,3,3,3,1,1
6,6,2,4,2,3,0,1,2,3,2,0,0,1,6,4,4,4,1,1
9,6,5,7,5,4,3,2,5,6,2,0,0,4,6,4,4,7,1,1
12,9,8,8,8,4,6,2,6,7,2,0,1,5,9,5,4,7,2,2
13,10,9,11,9,7,9,5,6,7,5,3,4,5,9,5,7,7,2,2
14,13,12,11,12,7,12,5,9,10,5,6,7,8,10,5,7,7,2,2
15,13,15,14,13,10,12,6,9,11,8,6,10,8,11,8,10,7,3,2
18,16,18,17,16,10,15,7,10,11,9,9,10,8,12,8,10,7,6,2
21,19,18,20,19,13,15,8,10,12,12,9,13,11,12,8,10,8,6,3
24,22,21,21,19,16,16,11,10,15,12,10,14,11,13,9,10,9,7,3
27,25,21,21,22,19,17,12,13,15,15,10,17,11,16,10,10,9,7,4
30,26,21,24,22,22,20,15,13,18,16,11,17,14,16,10,13,9,7,5
33,27,24,27,22,23,20,18,16,21,19,11,20,14,19,10,13,9,7,5
34,28,25,27,23,23,23,19,17,21,20,12,21,15,20,13,14,12,7,8
37,31,25,30,26,26,23,22,18,22,21,12,21,18,21,13,15,12,7,9
37,34,28,33,29,29,26,23,21,23,21,12,21,18,21,17,16,12,7,9
40,35,34,36,30,29,27,23,22,23,21,13,24,21,24,17,16,12,8,9
40,38,34,39,31,32,28,23,22,26,21,16,27,21,25,19,17,12,9,10
43,41,35,42,31,35,29,26,23,26,22,19,27,22,25,19,18,13,10,10
46,42,39,42,34,35,32,29,24,29,22,19,30,23,28,19,18,13,10,10
46,48,39,43,35,41,35,32,27,32,22,19,30,23,28,19,18,13,10,13
52,48,42,46,36,41,35,32,30,35,23,20,30,24,28,19,18,16,10,16
52,51,45,49,39,44,35,32,33,35,26,26,33,24,28,19,18,16,10,16
55,54,45,52,39,45,38,35,33,39,26,26,34,27,28,19,21,17,10,16
56,60,46,55,42,48,38,36,33,39,26,29,35,27,29,20,21,17,10,19
59,60,49,56,45,48,41,39,34,39,26,29,35,28,32,24,24,17,10,19
62,60,52,57,48,48,44,39,37,40,26,30,35,28,35,27,25,18,11,19
65,63,55,57,48,48,44,43,40,41,27,30,38,31,35,27,26,21,11,19
68,66,58,58,48,49,50,43,40,44,27,33,41,31,35,27,27,22,11,19
71,69,61,58,54,49,50,43,40,47,30,36,41,31,35,28,27,22,14,20
72,69,62,61,54,52,53,46,40,50,33,39,41,31,38,28,27,22,17,20
75,72,65,65,54,52,53,49,43,50,33,40,44,34,38,31,27,22,17,20
75,75,68,65,60,55,56,49,44,50,36,40,44,37,39,31,27,23,18,20
78,78,68,68,63,58,59,50,45,51,39,40,44,37,39,31,30,24,18,20
81,81,71,69,63,62,62,50,48,54,42,40,44,37,39,32,30,24,19,20
84,84,74,69,63,62,62,53,51,54,45,46,44,37,39,32,33,27,19,20
90,87,75,69,64,63,63,53,54,54,46,46,44,38,39,33,34,30,22,20
93,90,78,72,67,64,63,56,55,54,46,46,45,39,39,36,35,31,22,20
