Barcelona,Ath Madrid,Real Madrid,Valencia,Villarreal,Betis,Sevilla,Getafe,Girona,Eibar,Sociedad,Espanol,Celta,Alaves,Levante,Ath Bilbao,Leganes,La Coruna,Las Palmas,Malaga
3,1,3,3,0,0,1,1,1,3,3,1,0,0,3,1,3,0,0,0
6,4,4,4,0,3,4,1,4,3,6,1,0,0,4,4,6,1,0,0
9,5,5,5,3,3,7,4,4,3,9,1,3,0,5,7,6,1,3,0
12,8,8,6,6,6,10,4,4,6,9,4,3,0,6,7,6,1,6,0
15,11,8,9,7,9,13,5,5,6,9,5,4,0,9,7,7,4,6,0
18,14,11,12,7,12,13,8,5,6,9,8,7,0,9,8,10,4,6,1
21,15,14,15,10,13,16,8,6,6,10,8,8,3,9,8,11,7,6,1
22,16,17,18,13,13,16,8,6,7,13,9,11,3,10,11,14,8,6,1
25,19,20,21,16,16,16,9,9,7,14,10,11,3,11,11,17,8,6,1
28,20,20,24,17,16,19,12,12,8,14,13,11,3,12,11,17,11,6,4
31,23,23,27,20,17,19,13,15,8,17,13,14,6,12,11,17,11,6,4
34,24,24,30,21,17,22,16,16,11,18,13,14,6,15,12,17,11,6,7
35,27,27,31,21,18,25,16,17,14,19,16,17,6,15,13,17,12,7,7
36,30,28,31,21,18,28,19,17,17,19,16,18,9,16,14,20,12,10,8
39,33,31,34,21,18,28,20,20,18,19,16,18,12,16,17,20,15,10,11
42,36,31,34,24,21,29,20,23,21,20,17,18,12,18,18,21,15,11,11
45,39,31,34,27,21,29,23,23,24,23,20,21,15,18,21,21,15,11,11
48,39,32,37,28,24,29,26,23,27,23,23,22,15,18,24,24,16,11,11
51,42,32,40,31,27,29,27,26,27,23,24,25,18,18,26,24,16,11,11
54,43,35,40,34,27,32,27,27,29,23,24,28,19,18,27,25,16,14,12
57,46,38,40,37,27,33,28,28,29,26,24,31,19,19,27,28,17,14,13
58,49,39,40,37,30,33,29,31,32,26,25,31,22,20,28,29,17,18,13
59,52,42,43,37,33,36,30,34,35,26,26,32,25,20,28,29,17,18,13
62,55,48,46,38,33,39,33,34,35,29,27,32,28,20,28,29,17,18,13
65,58,51,49,41,36,39,33,34,35,29,28,35,28,20,31,30,18,19,13
66,61,51,50,41,37,42,36,37,38,30,31,35,31,20,32,30,18,20,13
69,61,54,53,41,37,45,36,40,39,33,32,38,31,21,32,33,19,20,13
72,64,57,56,44,40,45,36,43,39,33,35,38,31,24,35,33,19,20,13
75,64,60,59,47,43,45,39,43,39,33,35,39,31,27,35,36,20,21,14
76,67,63,62,47,46,46,39,44,40,34,36,40,32,28,36,36,20,21,17
79,68,64,65,47,49,46,39,44,40,37,36,43,35,31,39,36,23,21,17
82,71,67,65,48,52,47,42,44,40,40,36,43,38,31,39,39,26,21,17
83,71,68,65,51,55,48,45,47,43,43,36,44,38,34,40,39,27,21,17
83,72,68,66,51,56,48,48,47,43,43,40,45,41,40,40,40,28,22,20
86,75,71,67,54,59,51,49,48,44,46,40,45,41,40,43,40,28,22,20
90,75,72,67,57,59,54,52,48,47,46,43,46,44,43,43,40,29,22,20
90,78,75,70,60,60,55,52,48,50,49,46,46,47,46,43,40,29,22,20
93,79,76,73,61,60,58,55,51,51,49,49,49,47,46,43,43,29,22,20
