Barcelona,Ath Madrid,Real Madrid,Valencia,Getafe,Sevilla,Espanol,Ath Bilbao,Alaves,Sociedad,Betis,Eibar,Leganes,Levante,Villarreal,Celta,Valladolid,Girona,Huesca,Vallecano
3,1,3,1,0,3,1,3,0,3,0,0,0,3,0,1,1,1,3,0
6,4,6,1,3,4,4,4,1,4,1,0,1,3,1,4,1,1,4,0
9,4,9,2,4,4,4,4,4,4,4,3,1,4,1,7,2,4,4,3
12,5,10,3,7,4,7,5,7,7,5,4,1,4,4,7,2,7,4,3
13,11,13,4,7,7,7,6,10,7,6,7,1,4,5,8,3,8,4,3
13,11,13,5,8,10,11,6,11,8,9,7,4,4,8,9,6,8,4,5
14,12,14,8,9,13,11,7,11,11,12,7,4,7,8,10,9,9,5,5
15,15,14,9,9,16,14,7,17,11,12,10,7,10,8,10,12,9,5,5
18,16,14,10,12,16,17,9,17,12,12,11,8,13,9,10,15,10,5,6
21,19,14,11,15,19,18,10,20,12,12,11,8,16,9,13,16,13,5,6
24,20,17,11,16,20,21,10,20,13,13,14,9,17,10,14,16,16,6,6
24,23,20,14,16,23,21,10,23,16,16,15,10,17,11,14,17,17,6,7
25,24,20,17,17,26,21,11,23,19,16,18,13,18,14,14,17,20,7,7
28,25,23,17,20,27,21,11,24,19,19,18,16,21,14,17,17,21,7,10
31,28,26,18,21,28,21,14,24,19,22,19,17,22,14,20,20,21,7,10
34,31,29,19,24,31,21,15,25,19,25,20,18,22,15,21,20,21,8,10
37,34,30,22,25,32,21,16,28,19,26,21,19,22,16,21,21,22,8,13
40,35,30,22,25,33,24,19,31,22,26,22,19,23,17,21,21,23,11,16
43,38,33,23,28,33,24,22,32,25,26,22,22,23,17,21,22,24,11,19
46,41,36,26,31,33,24,23,32,26,29,25,22,26,18,21,22,24,11,20
49,44,39,29,31,36,24,26,32,27,29,26,23,26,18,21,25,24,12,23
50,44,42,30,32,36,25,26,32,30,32,29,26,27,19,24,25,24,15,23
51,44,45,31,35,37,28,27,35,31,32,30,29,27,20,24,26,24,18,23
54,47,45,32,36,37,29,30,36,34,33,31,29,30,23,24,26,27,18,23
57,50,48,33,39,37,30,33,37,35,36,31,30,30,23,25,26,28,19,23
60,53,48,36,42,37,33,33,40,35,36,34,33,30,23,25,26,31,22,23
63,56,51,39,45,40,34,34,41,35,39,35,33,30,26,25,26,31,22,23
66,56,54,40,46,43,34,37,44,36,39,35,33,31,29,25,29,34,22,23
69,59,57,43,46,43,34,40,44,37,40,36,36,32,29,28,30,34,22,24
70,62,57,46,47,46,35,43,44,40,40,39,39,32,30,29,30,34,23,24
73,62,60,46,50,49,38,43,45,40,43,39,40,33,30,32,30,34,24,27
74,65,61,49,51,52,41,46,45,41,43,40,41,33,33,32,31,34,25,27
77,68,64,52,54,52,42,46,46,41,43,40,41,34,36,35,32,34,26,28
80,71,65,52,55,55,43,49,46,41,43,40,41,37,39,36,35,34,29,28
83,74,65,52,55,55,44,50,47,44,44,43,42,37,40,37,35,37,30,31
83,74,68,55,58,55,47,50,47,47,44,46,45,40,40,40,38,37,30,31
86,75,68,58,58,56,50,53,47,50,47,46,45,43,43,40,41,37,30,31
87,76,68,61,59,59,53,53,50,50,50,47,45,44,44,41,41,37,33,32
