Real Madrid,Barcelona,Sevilla,Ath Madrid,Villarreal,Granada,Sociedad,Getafe,Valencia,Osasuna,Ath Bilbao,Levante,Valladolid,Eibar,Betis,Alaves,Celta,Leganes,Mallorca,Espanol
3,0,3,3,1,1,1,0,1,3,3,0,3,0,0,3,0,0,3,0
4,3,6,6,1,1,4,1,1,4,4,3,4,1,0,4,3,0,3,1
5,4,7,9,2,4,4,2,4,5,7,6,4,1,3,5,4,0,3,1
8,7,10,9,5,7,7,3,4,6,8,6,5,1,4,5,4,0,4,4
11,7,10,10,8,10,10,6,5,7,11,7,5,2,5,5,5,1,4,4
14,10,10,13,8,11,13,7,6,7,12,7,6,5,8,5,6,2,4,5
15,13,13,14,11,14,13,7,9,8,12,8,9,8,8,8,6,2,4,5
18,16,13,15,11,14,13,10,12,11,12,11,10,9,9,8,9,2,7,5
18,19,16,16,14,17,16,13,13,11,13,11,11,9,9,11,9,2,10,5
18,19,19,20,17,20,19,13,13,14,13,11,14,9,9,12,9,5,10,8
21,22,20,20,17,20,19,16,17,15,16,14,14,12,12,12,9,5,11,8
22,22,21,21,18,20,23,19,17,18,17,17,17,15,13,12,9,6,11,8
25,25,24,24,18,20,23,20,20,19,20,20,17,15,13,15,9,6,14,8
28,28,27,25,18,21,23,21,20,19,23,20,18,15,16,18,13,6,14,9
31,31,30,26,19,21,26,24,23,22,26,20,18,15,19,18,13,6,14,9
34,34,31,26,19,24,27,27,26,23,26,20,19,15,22,19,13,10,14,9
36,36,31,29,22,24,28,30,27,23,27,23,19,16,23,19,14,10,15,10
37,39,34,32,25,24,31,30,28,23,28,26,20,19,23,19,14,13,15,10
40,40,35,35,28,27,31,30,31,24,29,26,21,19,24,20,15,14,15,11
43,43,35,35,28,27,31,33,31,25,30,26,22,22,27,23,16,14,18,14
46,43,38,36,31,27,34,36,34,28,31,26,22,23,27,23,17,15,18,15
49,46,39,36,34,30,34,39,37,28,31,26,25,24,28,24,17,18,18,15
52,49,39,39,35,30,37,42,37,28,31,29,26,24,28,27,20,18,18,18
53,52,40,40,38,33,37,42,38,31,31,29,26,24,30,27,21,19,22,19
53,55,43,43,38,36,43,42,38,31,31,32,29,24,30,30,24,19,22,19
56,55,46,44,38,37,43,45,42,31,34,32,29,27,30,32,25,20,22,20
56,58,47,45,38,38,46,46,42,34,37,33,29,27,33,32,26,23,25,20
59,61,50,46,41,41,47,46,43,35,38,34,32,27,33,32,26,23,25,23
62,64,51,49,44,42,47,47,43,35,39,35,33,28,34,35,27,23,25,24
65,65,52,52,47,42,47,48,46,35,42,38,33,29,34,35,30,24,26,24
68,68,53,55,48,43,47,49,46,38,42,38,34,32,37,35,33,25,26,24
71,69,54,58,51,43,47,52,46,41,45,41,35,35,37,35,34,25,26,24
74,70,57,59,54,46,50,52,46,44,48,42,36,35,37,35,34,25,29,24
77,73,60,62,54,47,51,53,47,45,48,43,39,35,38,35,35,28,29,24
80,76,63,63,57,50,51,53,50,45,48,43,39,36,41,35,36,29,32,24
83,79,66,66,57,50,54,54,50,48,51,43,39,39,41,36,36,32,32,24
86,79,67,69,57,53,55,54,53,51,51,46,39,42,41,39,36,35,32,24
87,82,70,70,60,56,56,54,53,52,51,49,42,42,41,39,37,36,33,25
