Ath Madrid,Real Madrid,Barcelona,Sevilla,Sociedad,Betis,Villarreal,Celta,Granada,Ath Bilbao,Osasuna,Cadiz,Valencia,Levante,Alaves,Getafe,Elche,Huesca,Valladolid,Eibar
0,0,0,0,1,3,4,4,3,0,3,0,3,0,0,3,0,1,1,1
0,4,3,0,5,6,4,5,6,0,3,3,4,0,1,4,0,2,2,1
4,7,3,3,5,6,7,5,6,3,3,3,7,3,1,7,3,3,2,1
5,10,6,6,8,9,8,5,7,3,3,7,7,3,1,7,4,4,2,4
8,10,7,7,8,9,11,5,10,6,7,10,7,3,4,10,4,4,2,5
11,13,7,7,11,9,12,5,10,6,10,11,7,3,7,10,10,5,3,8
14,16,8,7,14,9,12,6,14,9,10,14,8,5,8,11,10,5,3,8
17,16,11,10,17,12,15,7,14,9,10,14,11,5,8,11,11,6,6,9
20,17,11,13,20,12,19,7,14,9,11,14,12,7,10,11,12,7,9,9
23,17,14,16,23,12,19,7,14,13,11,15,12,8,13,13,13,7,10,10
26,20,14,16,24,15,20,13,15,13,11,18,12,11,13,13,13,8,10,13
26,23,14,19,26,16,22,13,15,14,11,18,14,11,14,13,14,11,13,15
29,26,21,20,26,16,25,16,18,17,11,18,15,11,14,13,14,11,14,15
32,29,24,23,26,16,26,19,21,18,12,18,15,14,14,16,15,11,14,15
32,33,25,26,26,19,26,20,21,18,12,19,15,18,17,17,16,12,15,16
35,36,28,27,29,20,29,23,24,18,13,19,15,18,18,17,16,12,18,16
38,37,34,30,30,20,32,23,24,21,15,20,16,18,18,17,16,12,18,19
41,37,34,33,30,23,32,23,27,21,15,24,19,22,18,20,17,12,19,19
44,40,34,36,31,27,34,23,28,21,16,24,20,23,18,23,17,13,20,19
47,40,37,39,32,27,35,24,28,24,19,24,23,26,18,23,17,16,20,20
50,43,40,42,32,30,36,25,30,24,19,24,23,27,22,24,18,16,20,20
54,46,43,45,35,30,36,29,30,25,22,24,24,27,22,24,18,16,21,21
55,52,46,45,38,36,36,29,30,28,25,24,27,28,22,24,18,16,21,21
55,52,50,48,41,36,37,29,30,30,25,25,27,32,22,24,21,20,21,22
58,53,53,48,42,39,37,30,33,30,28,25,30,32,22,27,21,20,25,22
62,54,56,48,45,42,37,33,33,33,28,28,30,35,22,27,24,20,25,22
63,57,59,54,45,42,40,34,36,34,29,29,30,35,23,28,24,20,26,22
66,60,62,55,45,45,43,34,36,35,30,29,33,35,23,29,25,21,27,23
66,63,65,58,46,46,46,37,36,36,31,32,33,35,23,30,26,24,27,23
67,66,65,61,47,47,46,37,39,37,34,35,34,38,24,30,26,27,27,23
70,67,65,67,47,48,49,38,39,37,40,36,35,38,27,31,26,27,27,23
73,70,68,67,50,49,49,38,42,38,40,37,35,38,30,31,30,27,29,23
73,71,71,70,53,50,49,41,45,42,40,37,36,38,31,34,30,27,30,23
76,74,74,70,53,51,52,44,45,45,40,40,36,38,31,34,30,30,31,26
77,75,75,71,56,54,52,47,45,46,41,43,39,39,32,34,30,30,31,29
80,78,76,74,56,55,55,50,45,46,44,43,39,40,35,34,30,33,31,30
83,81,76,74,59,58,58,53,45,46,44,43,42,40,38,37,33,33,31,30
86,84,79,77,62,61,58,53,46,46,44,44,43,41,38,38,36,34,31,30
