Real Madrid,Barcelona,Ath Madrid,Sevilla,Betis,Sociedad,Villarreal,Ath Bilbao,Valencia,Osasuna,Celta,Espanol,Vallecano,Elche,Getafe,Cadiz,Mallorca,Granada,Levante,Alaves
3,3,3,3,1,0,1,1,3,1,0,1,0,1,0,1,1,1,1,0
4,4,6,6,2,3,2,2,4,2,1,2,0,1,0,2,4,2,2,0
7,7,7,7,2,6,3,5,7,5,1,2,3,2,0,2,7,2,2,0
10,7,10,7,5,9,3,8,10,5,1,2,4,6,0,5,7,2,4,0
13,8,14,8,6,10,4,9,10,8,1,3,10,6,0,5,8,3,4,0
16,9,14,11,9,13,7,10,11,8,4,6,10,6,0,6,8,3,4,3
17,12,14,14,12,16,8,13,11,14,7,6,13,6,0,6,8,3,4,3
17,12,17,14,12,20,11,13,12,14,7,9,13,9,2,7,11,6,5,3
17,15,17,17,15,20,11,16,13,18,7,13,16,10,2,7,12,7,5,3
20,15,18,21,18,21,12,17,13,18,10,14,16,10,2,8,13,7,5,9
24,16,19,24,21,24,12,17,16,19,10,14,19,10,3,8,13,8,6,10
24,17,22,24,21,25,12,18,16,19,12,17,20,10,6,12,14,11,6,13
27,17,26,28,21,28,16,19,17,19,13,17,20,11,6,12,15,11,7,14
30,23,26,28,24,29,16,20,18,19,16,17,23,11,10,12,16,12,7,14
39,23,29,28,27,29,16,20,19,20,16,20,24,12,10,12,19,15,7,14
39,23,29,31,30,29,16,21,22,21,17,23,27,15,12,12,20,15,8,15
42,24,29,34,33,29,22,21,25,22,20,23,30,15,12,13,20,16,8,15
43,28,29,38,33,29,25,24,28,22,20,23,30,15,15,14,20,22,8,15
46,31,32,41,33,30,25,27,28,22,23,26,30,16,18,14,20,23,8,16
49,32,33,44,34,33,29,28,28,25,23,26,31,16,18,14,20,24,11,17
49,32,33,45,40,33,32,28,29,25,26,27,31,22,21,18,20,24,11,17
50,35,36,46,40,34,32,31,29,28,27,27,31,26,25,18,23,24,11,17
54,38,36,50,40,35,36,34,30,29,31,27,31,26,25,19,23,24,11,17
54,39,39,50,43,38,39,34,30,32,31,28,31,29,25,19,26,24,14,20
57,42,45,51,46,38,39,37,30,32,32,29,31,29,26,20,26,24,18,20
60,45,45,55,46,44,42,37,33,32,32,29,31,29,27,21,26,25,18,22
63,48,51,55,46,44,42,40,36,35,35,32,31,29,27,24,26,25,18,22
66,51,51,56,49,47,45,41,37,35,35,33,32,32,29,24,26,25,19,22
66,54,54,57,50,48,45,41,40,38,36,36,32,32,32,27,26,28,19,22
69,57,57,60,53,51,45,44,41,38,36,36,33,32,32,28,26,29,22,22
72,60,57,60,57,55,46,45,42,41,36,39,34,32,32,28,29,29,22,22
75,60,60,60,57,55,52,45,42,44,39,39,34,35,32,31,29,29,25,25
78,63,61,63,57,55,52,48,42,44,39,39,40,38,35,31,32,30,25,25
81,66,61,64,58,56,52,51,43,45,40,39,41,39,36,32,32,31,26,28
81,69,64,65,58,56,53,52,44,46,43,40,42,39,37,35,32,34,29,28
84,72,67,66,61,59,56,52,44,47,43,40,42,39,38,35,33,37,29,31
85,73,68,67,64,62,56,55,45,47,46,41,42,39,39,36,36,37,32,31
86,73,71,70,65,62,59,55,48,47,46,42,42,42,39,39,39,38,35,31
