Barcelona,Real Madrid,Ath Madrid,Sociedad,Villarreal,Betis,Osasuna,Ath Bilbao,Mallorca,Vallecano,Girona,Sevilla,Celta,Valencia,Cadiz,Getafe,Almeria,Valladolid,Espanol,Elche
1,3,3,3,3,3,3,1,1,1,0,0,1,3,0,0,0,0,1,0
4,6,3,3,6,6,6,4,1,4,3,1,1,3,0,0,1,1,1,1
7,9,6,6,7,9,6,7,4,4,3,1,4,3,0,1,4,1,1,1
10,12,7,7,10,9,9,7,5,4,4,1,7,6,0,1,4,4,4,1
13,15,10,7,10,12,12,10,5,7,7,4,7,6,0,4,4,4,4,1
16,18,10,10,11,15,12,13,8,7,7,5,7,9,3,7,4,4,4,1
19,19,13,13,12,15,13,16,8,10,7,5,10,10,4,7,4,7,5,1
22,22,16,16,12,16,13,17,9,10,7,6,10,13,5,7,7,8,6,2
22,25,19,19,15,19,13,17,9,11,8,9,10,14,6,8,7,8,9,3
25,28,20,22,15,20,16,18,9,12,8,10,10,15,7,9,10,11,9,3
28,31,23,22,18,20,17,18,12,15,9,10,11,15,7,10,10,14,10,4
31,32,23,22,18,23,20,21,13,18,10,10,11,15,10,13,13,14,11,4
34,32,24,23,18,24,23,21,16,21,13,11,11,16,11,14,13,17,12,4
37,35,24,26,21,24,23,24,19,22,16,11,12,19,11,14,16,17,12,4
38,38,27,29,24,25,23,25,19,23,17,12,13,19,12,17,17,17,13,4
41,38,27,32,27,28,24,26,22,23,18,15,16,19,15,17,17,17,14,4
41,38,28,38,28,28,27,26,25,26,21,15,17,19,16,17,18,17,17,5
44,41,31,38,31,28,28,26,25,26,21,18,17,20,19,17,22,17,20,6
50,45,34,39,31,31,28,26,25,29,21,21,20,20,19,17,22,20,20,6
53,45,35,39,31,31,29,29,28,32,24,21,23,20,19,18,22,23,21,9
56,48,38,42,31,34,30,32,28,33,24,24,23,20,22,19,22,24,21,9
59,51,41,43,31,37,30,32,31,34,27,25,24,20,22,22,22,24,24,9
59,52,42,43,34,40,33,32,31,34,30,25,27,23,25,22,25,24,27,9
62,53,45,44,37,41,34,33,31,35,30,25,28,23,26,25,25,27,27,12
65,56,48,45,38,42,34,33,32,35,30,28,31,26,27,26,25,28,27,13
68,56,51,48,41,45,34,36,32,36,31,28,34,26,28,29,26,28,27,13
71,59,54,48,44,45,35,37,33,37,34,31,35,27,28,30,27,28,27,13
72,59,57,51,47,45,38,40,34,37,35,32,36,27,31,30,30,29,27,13
73,62,60,51,47,48,38,43,37,40,38,35,36,27,31,31,30,32,27,13
76,65,60,54,47,48,41,46,40,40,38,38,36,30,32,31,30,35,28,13
76,65,63,55,50,49,44,46,40,43,41,41,39,33,32,31,33,35,28,13
79,68,66,58,53,49,44,47,41,43,44,41,39,33,35,31,33,35,31,16
82,68,69,61,54,52,44,47,41,46,47,44,39,34,35,34,36,35,31,16
85,71,69,62,57,55,47,47,44,46,48,47,39,37,35,34,36,35,31,19
85,71,72,65,60,56,47,50,44,46,48,48,39,40,38,35,39,35,34,20
85,74,73,68,63,56,50,50,47,46,49,49,40,40,38,38,39,38,35,21
88,77,76,68,63,59,50,50,47,49,49,49,40,41,41,41,40,39,36,24
88,78,77,71,64,60,53,51,50,49,49,49,43,42,42,42,41,40,37,25
