Real Madrid,Barcelona,Girona,Ath Madrid,Ath Bilbao,Sociedad,Betis,Villarreal,Valencia,Alaves,Osasuna,Getafe,Celta,Sevilla,Mallorca,Las Palmas,Vallecano,Cadiz,Almeria,Granada
3,1,1,3,0,1,3,0,3,0,3,1,0,0,1,1,3,3,0,0
6,4,4,4,3,2,4,3,6,3,3,1,1,0,1,1,6,3,0,0
9,7,7,7,6,3,4,3,6,3,6,4,1,0,1,2,6,4,1,3
12,10,10,7,7,6,7,3,6,6,6,4,4,0,2,2,9,7,1,3
15,13,13,7,13,6,7,6,9,6,6,7,4,3,5,2,9,7,1,3
15,16,16,10,13,9,8,7,10,6,7,7,4,7,5,5,10,8,2,3
18,20,19,13,14,12,9,7,10,7,7,8,5,7,6,5,11,9,2,4
21,20,19,16,17,15,12,8,10,7,10,9,5,7,7,8,12,9,3,5
24,21,22,19,17,15,13,8,11,8,13,10,6,8,8,11,13,9,3,6
25,24,28,22,17,18,14,9,14,9,13,11,6,9,8,11,16,9,3,6
28,24,28,25,18,19,17,12,15,9,13,12,6,10,9,17,17,10,3,6
29,27,31,25,24,19,20,12,18,12,13,15,7,11,9,17,18,10,3,6
32,31,34,28,24,22,21,12,18,15,14,16,7,12,9,18,19,10,3,7
35,31,35,31,25,25,24,15,19,15,14,19,8,12,10,21,19,11,3,7
38,34,38,31,28,26,25,16,19,16,15,22,9,13,11,21,19,12,4,7
39,34,41,34,29,29,26,16,19,16,19,22,10,13,14,24,20,13,4,8
42,35,44,34,32,30,27,16,23,16,19,25,13,13,15,25,20,14,5,8
45,38,45,38,35,31,28,19,23,16,19,26,13,16,18,25,20,15,5,8
48,41,48,38,38,32,28,19,26,17,22,26,16,16,18,25,23,15,5,11
48,41,49,38,41,35,31,19,32,23,22,26,17,16,19,28,23,15,6,11
54,44,52,41,41,36,31,20,32,26,25,26,17,16,20,31,24,15,6,11
57,47,55,47,42,36,34,23,32,26,26,29,17,17,20,31,24,16,6,11
58,50,56,48,45,37,35,24,35,26,26,30,20,20,20,32,24,17,6,12
61,51,56,48,46,37,38,25,35,27,29,33,20,23,23,35,24,17,7,13
62,54,56,51,49,40,39,26,36,28,32,34,20,24,23,35,25,17,8,14
65,57,59,52,49,40,42,29,36,29,33,34,24,24,24,36,25,18,9,14
66,61,59,55,50,40,42,32,37,29,36,35,24,27,27,37,26,19,9,14
69,61,62,55,53,46,42,35,40,32,36,35,24,28,27,37,26,22,10,14
72,64,62,55,56,46,42,38,40,32,36,38,27,28,30,37,29,25,13,14
75,67,65,58,56,49,42,38,44,32,39,38,28,31,31,37,30,25,13,14
78,70,65,61,57,50,45,39,47,32,39,39,28,34,31,37,31,25,14,17
81,70,68,61,58,51,48,42,47,35,39,40,31,37,31,37,34,25,14,18
84,73,71,64,58,51,49,45,47,38,39,43,31,38,32,37,34,26,14,21
87,73,74,67,61,54,52,45,47,41,39,43,34,41,32,37,34,26,17,21
90,76,75,70,62,54,55,48,48,42,40,43,34,41,35,37,35,29,17,21
93,79,75,73,62,57,56,51,48,42,41,43,37,41,36,38,38,32,17,21
94,82,78,73,65,60,56,52,48,45,44,43,40,41,37,39,38,33,18,21
95,85,81,76,68,60,57,53,49,46,45,43,41,41,40,40,38,33,21,21
