Barcelona,Real Madrid,Ath Madrid,Ath Bilbao,Villarreal,Betis,Celta,Osasuna,Vallecano,Mallorca,Sociedad,Valencia,Alaves,Espanol,Getafe,Girona,Sevilla,Leganes,Las Palmas,Valladolid
3,1,1,1,1,1,3,1,3,1,0,0,0,0,1,1,1,1,1,3
6,4,4,1,4,2,6,4,4,1,3,0,1,0,2,1,1,4,1,3
9,5,5,4,8,2,6,4,4,2,3,1,4,1,2,4,2,5,2,4
12,8,8,4,8,5,6,7,4,5,4,1,7,4,3,7,2,5,2,4
15,11,11,7,11,5,9,7,7,8,4,1,7,7,3,7,5,5,2,4
18,14,12,10,11,8,9,10,8,8,5,4,10,7,4,7,5,6,2,5
21,17,15,13,14,9,9,11,9,11,5,5,10,7,4,8,8,6,3,5
21,18,16,14,17,12,10,14,10,14,8,5,10,7,7,9,9,7,3,5
24,21,17,14,17,12,13,15,13,14,9,6,10,10,8,12,12,8,3,5
27,24,20,17,18,15,13,15,13,17,12,6,10,10,9,12,12,8,6,8
30,24,20,18,21,18,13,18,16,18,12,7,10,10,10,12,15,11,9,8
33,27,23,19,21,19,16,21,16,18,15,7,13,10,10,15,15,11,12,8
33,27,29,20,24,20,17,21,16,18,18,10,13,10,13,18,15,14,12,9
34,30,32,23,25,20,18,22,16,24,18,10,13,13,13,21,18,14,12,9
37,33,32,29,26,20,21,23,16,24,21,10,14,13,13,22,19,15,15,9
38,36,35,32,26,21,21,24,19,24,24,10,15,13,16,22,19,15,18,12
38,37,38,33,26,24,21,25,20,27,25,11,16,15,16,22,22,18,19,12
38,40,41,36,30,25,24,25,22,30,25,12,17,15,16,25,22,18,19,12
38,43,44,36,30,25,24,25,25,30,28,13,17,16,19,28,23,19,22,15
39,46,44,39,33,25,24,26,26,30,28,16,20,19,20,28,26,22,22,15
42,49,45,40,34,28,25,27,29,30,28,16,21,20,23,28,27,23,23,15
45,49,48,41,37,29,25,30,32,30,28,19,21,23,24,31,28,23,23,15
48,50,49,44,40,29,28,31,35,31,31,22,21,23,27,31,28,23,23,15
51,51,50,45,41,32,29,32,35,34,31,23,22,24,30,31,31,24,23,15
54,54,53,48,44,35,32,32,35,35,34,23,22,27,30,31,32,24,23,15
57,54,56,48,44,38,33,33,36,36,34,27,23,27,30,32,33,27,24,16
57,60,56,49,44,41,36,33,36,37,34,27,27,28,33,33,36,27,25,16
63,60,56,52,44,44,39,33,40,40,35,28,27,28,36,34,36,27,25,16
66,63,57,53,47,47,40,34,40,40,38,31,27,32,36,34,36,27,26,16
67,63,60,54,48,48,43,35,40,40,41,37,30,32,39,34,36,28,26,16
70,66,63,57,51,48,43,38,40,43,41,37,30,38,39,34,36,28,29,16
73,69,63,57,52,51,43,41,41,44,42,39,31,39,39,34,37,29,32,16
76,72,66,60,55,54,46,44,41,44,42,39,34,39,39,35,37,30,32,16
79,75,67,61,58,57,46,44,44,44,43,42,35,39,39,38,38,31,32,16
82,75,70,64,61,58,49,45,47,47,43,45,35,39,39,38,38,34,32,16
85,78,70,67,64,59,52,48,48,47,43,45,38,39,39,41,41,34,32,16
85,81,73,70,67,59,52,51,51,47,46,45,41,39,42,41,41,37,32,16
88,84,76,70,70,60,55,52,52,48,46,46,42,42,42,41,41,40,32,16
