Betis,Girona,Sp Gijon,Las Palmas,Valladolid,Zaragoza,Ponferradina,Mirandes,Llagostera,Leganes,Alcorcon,Numancia,Alaves,Albacete,Lugo,Tenerife,Mallorca,Osasuna,Santander,Recreativo,Sabadell,Barcelona B
3,3,3,3,3,1,3,1,0,1,3,0,1,0,1,0,0,3,0,1,0,0
6,6,6,4,3,2,3,4,3,1,3,0,2,1,4,1,1,4,0,2,0,3
6,9,7,7,6,2,6,4,3,4,6,3,5,2,4,1,1,4,0,5,0,6
6,10,8,10,9,3,9,4,4,5,6,3,5,5,5,4,1,5,0,8,1,9
9,10,11,13,12,6,9,4,7,6,6,6,5,5,6,4,1,8,1,9,4,9
12,11,12,13,13,9,12,4,7,6,9,7,8,5,9,7,2,8,4,9,4,10
13,14,13,14,14,12,12,7,8,9,9,7,9,5,12,7,2,8,7,12,7,10
14,17,16,15,17,13,15,7,8,9,12,7,9,5,13,7,5,8,8,15,10,11
14,20,17,18,18,16,16,10,8,12,12,7,12,5,13,7,8,11,8,16,10,14
17,23,20,19,21,19,17,10,9,13,12,8,13,5,14,10,11,11,9,16,10,14
17,23,21,22,24,19,18,10,9,14,13,11,14,5,14,13,14,14,12,16,13,15
20,23,24,25,25,19,19,11,9,14,16,12,15,8,17,14,17,15,12,17,13,15
21,26,25,26,26,20,22,12,12,14,17,13,16,8,18,14,18,15,13,20,14,16
21,29,26,29,26,20,23,15,13,14,20,16,19,11,18,15,19,15,16,20,14,17
24,30,29,32,26,23,23,18,13,17,23,19,19,14,21,15,19,16,16,20,14,17
27,30,32,33,29,24,26,21,13,17,26,22,19,15,21,18,19,16,16,20,15,20
30,30,33,36,29,27,26,24,16,20,27,23,22,15,21,19,20,19,17,20,15,20
33,31,36,36,32,28,29,25,19,23,27,24,23,15,22,22,20,22,17,20,15,20
34,34,37,39,35,28,30,28,19,23,28,25,23,15,23,23,23,25,18,20,18,20
37,35,38,42,38,28,31,31,19,26,29,26,23,18,23,23,24,26,19,21,19,20
40,38,38,43,38,31,32,31,22,26,30,27,24,18,23,24,27,27,22,21,20,23
43,41,41,44,41,34,35,32,23,26,30,27,27,21,24,24,27,30,22,21,20,23
44,44,44,47,42,34,35,33,23,29,31,28,28,24,25,24,27,30,25,22,20,26
45,47,47,47,45,40,36,33,26,32,31,31,29,24,28,24,27,30,25,22,20,27
46,48,48,51,48,41,36,34,29,35,32,34,29,25,28,25,28,30,25,23,21,27
49,48,51,51,48,41,39,34,32,38,32,35,32,26,31,28,34,30,25,23,21,27
50,51,51,52,51,42,39,35,33,38,35,35,32,30,34,29,34,30,25,26,25,27
53,51,52,53,51,42,42,35,36,38,36,38,35,30,37,32,37,30,28,27,25,27
56,52,55,53,54,43,42,38,37,38,37,38,38,31,38,33,37,31,29,28,26,28
56,53,56,53,54,46,45,39,40,41,40,41,38,32,41,36,37,31,29,29,27,28
59,56,57,56,54,47,45,39,43,42,41,42,41,35,41,37,38,32,29,29,28,29
62,59,58,56,54,48,46,40,46,43,41,42,44,38,44,38,38,32,29,32,29,30
65,59,59,59,57,49,49,40,47,46,42,43,47,38,44,38,38,33,32,32,32,30
68,62,62,59,58,49,52,43,48,46,43,46,47,41,44,39,39,33,35,32,33,30
71,65,63,60,59,52,52,44,49,47,44,46,47,41,45,39,42,36,35,32,36,33
72,68,66,63,62,53,53,47,50,47,47,49,47,44,46,40,42,36,35,32,36,33
75,71,69,63,65,56,53,47,51,50,50,50,50,44,46,40,42,39,38,32,36,33
78,72,72,66,66,57,53,47,54,51,51,50,53,44,46,41,45,40,38,32,37,36
81,75,73,69,69,57,53,50,54,51,52,51,53,47,47,44,48,40,38,35,37,36
84,78,76,72,69,60,56,53,54,52,52,51,53,50,47,44,48,41,41,38,37,36
84,81,79,75,72,60,59,56,54,55,53,52,53,51,48,47,48,44,41,38,37,36
84,82,82,78,72,61,60,59,57,56,54,53,53,51,49,48,48,45,44,41,38,36
