Alaves,Leganes,Gimnastic,Girona,Cordoba,Alcorcon,Zaragoza,Osasuna,Oviedo,Numancia,Elche,Tenerife,Huesca,Lugo,Mirandes,Valladolid,Mallorca,Almeria,Ponferradina,Llagostera,Albacete,Ath Bilbao B
3,0,1,3,3,3,1,3,1,3,0,0,0,1,1,0,0,3,3,0,1,0
6,3,4,3,3,3,4,6,1,6,3,0,1,4,1,3,3,3,3,0,2,0
6,4,7,3,3,6,5,6,4,7,4,1,2,5,2,3,3,6,6,3,2,3
6,4,7,4,6,9,5,9,7,8,7,1,3,8,5,6,4,6,6,3,5,3
9,5,10,7,9,9,5,12,7,9,10,4,3,9,6,7,4,6,6,3,6,6
10,6,11,8,10,10,6,13,8,10,11,7,6,10,6,8,4,6,9,4,9,6
10,9,11,8,13,13,9,16,9,13,11,8,7,10,9,9,5,7,9,7,9,6
13,10,12,9,16,13,12,16,12,14,11,9,10,10,12,9,8,8,10,7,9,7
13,11,15,10,19,13,15,19,15,14,14,9,11,13,13,9,9,8,11,10,9,7
16,12,16,11,19,16,16,20,15,15,15,10,12,13,13,12,12,8,14,10,12,8
17,13,16,14,22,16,19,20,16,15,15,10,15,16,16,13,13,9,17,10,13,9
17,14,19,14,22,17,20,20,16,18,18,13,15,19,17,14,14,10,18,10,16,12
20,17,19,14,23,17,20,23,19,18,19,16,16,20,20,17,14,11,19,13,16,12
23,17,22,17,24,20,20,26,22,19,19,17,16,21,21,17,15,12,22,13,16,13
26,20,25,18,27,23,23,26,22,20,19,18,16,22,21,18,15,13,22,16,19,13
29,23,26,18,30,24,26,26,25,20,20,19,16,23,24,18,18,14,25,16,19,13
30,26,26,18,33,25,27,27,28,21,23,22,19,26,24,21,18,14,25,16,19,14
33,27,29,19,33,28,27,30,31,21,26,22,20,27,25,24,19,14,25,17,19,15
36,28,30,22,33,31,28,31,32,24,27,22,21,27,28,24,20,17,26,17,20,15
39,31,30,22,36,34,28,34,35,24,28,25,21,30,29,25,20,18,26,17,23,15
39,34,33,25,39,34,31,35,36,27,31,28,22,31,29,28,20,18,26,17,23,15
42,37,34,28,39,34,31,38,37,28,34,29,22,32,32,31,23,18,26,17,24,15
43,40,37,29,39,35,31,38,38,29,37,29,25,33,35,32,26,21,26,18,24,15
46,40,38,30,40,36,34,39,39,30,38,30,26,33,38,33,26,22,27,18,25,18
47,43,41,33,40,37,37,39,42,33,38,30,26,36,39,36,26,22,28,21,25,18
48,46,42,34,43,40,38,40,43,34,39,33,27,36,40,37,27,23,28,21,26,18
48,49,43,37,46,41,41,43,46,35,39,36,27,36,40,38,27,26,28,21,26,21
49,52,44,40,46,42,42,43,46,35,40,37,30,39,40,38,30,30,31,22,26,21
49,52,45,40,46,42,45,46,46,38,43,40,33,42,40,41,33,30,32,25,26,21
50,53,48,41,47,45,46,46,46,39,44,41,33,43,41,44,34,31,35,25,29,21
53,54,51,44,47,45,46,47,49,39,45,42,33,46,44,44,35,32,35,28,29,24
56,54,52,45,48,48,46,48,49,42,48,45,33,46,44,45,38,33,38,28,29,27
57,57,52,46,48,49,49,49,52,42,49,46,36,47,47,45,38,34,38,31,32,27
57,57,53,49,51,52,52,50,53,43,52,49,36,47,48,45,39,37,38,32,32,28
58,60,54,52,52,52,55,53,53,46,53,50,39,50,48,45,39,40,38,33,32,28
59,63,57,55,52,52,56,56,56,49,54,50,42,51,48,46,40,40,39,33,33,28
62,64,60,55,55,55,59,57,56,50,55,51,42,51,51,46,40,40,40,36,36,28
65,65,61,56,55,55,60,58,59,51,56,51,45,51,51,49,43,40,43,39,36,29
68,65,64,59,58,58,60,61,59,51,56,54,48,54,52,49,43,43,43,40,36,29
71,68,67,60,61,61,61,61,59,54,56,54,49,54,52,50,46,44,46,41,36,29
74,71,70,63,64,61,64,61,59,54,57,55,52,54,52,51,46,47,47,41,39,29
75,74,71,66,65,64,64,64,59,57,57,55,55,54,52,51,49,48,47,44,39,32
