Levante,Girona,Getafe,Tenerife,Cadiz,Huesca,Valladolid,Oviedo,Reus Deportiu,Cordoba,Lugo,Sevilla B,Vallecano,Gimnastic,Almeria,Alcorcon,Zaragoza,Numancia,UCAM Murcia,Mallorca,Elche,Mirandes
3,1,1,0,1,1,3,0,3,3,1,1,0,1,1,1,3,0,0,0,3,1
6,4,2,1,2,2,4,3,4,4,2,2,1,2,1,1,4,1,1,1,3,2
7,4,3,1,2,2,7,4,5,5,3,3,1,3,4,2,7,2,2,2,6,5
10,5,3,4,5,5,7,5,6,5,6,3,4,3,5,5,7,3,3,2,7,6
10,5,6,7,5,5,7,5,9,8,9,6,4,3,5,5,10,6,6,5,7,9
13,6,6,8,8,5,7,5,12,11,12,6,7,4,5,5,11,6,9,6,10,10
16,9,6,8,8,8,7,8,13,14,13,7,8,4,6,6,11,9,10,7,10,13
19,12,7,9,8,11,7,9,13,15,16,8,11,5,6,9,12,10,11,7,10,14
20,13,10,10,9,11,10,12,14,16,17,11,11,6,7,9,12,11,11,10,11,15
23,14,13,11,10,14,13,13,17,16,17,14,12,6,8,10,12,12,11,10,14,15
26,14,14,11,11,15,14,16,20,17,17,17,15,6,11,10,13,12,12,13,15,15
27,17,15,14,14,18,15,19,20,18,17,20,15,7,11,13,16,12,12,14,15,15
30,18,18,15,17,18,18,20,20,18,18,20,15,10,14,13,17,13,15,15,16,15
31,21,18,16,18,21,18,20,20,18,21,23,15,13,14,16,20,14,15,18,19,15
31,24,21,19,21,22,18,23,23,19,21,24,16,13,17,16,20,17,15,19,19,16
31,27,27,22,21,22,19,23,24,19,21,27,16,16,18,19,21,17,18,19,22,16
31,30,27,23,24,23,22,26,27,22,24,27,19,16,18,19,21,20,18,19,22,19
37,30,28,23,27,26,25,26,27,22,27,27,22,16,21,22,24,20,18,19,23,19
37,33,34,26,30,27,25,26,27,25,28,27,22,16,21,22,27,23,18,19,26,22
43,36,34,27,33,28,28,26,27,26,28,30,23,17,21,23,27,24,19,22,26,22
46,39,35,30,33,28,31,29,30,26,31,31,24,18,21,23,27,27,20,23,26,22
49,42,36,33,36,28,31,32,31,26,31,31,25,21,21,26,27,27,23,24,27,23
49,42,36,34,37,29,34,32,32,27,32,32,25,22,24,29,28,30,24,25,30,24
52,45,37,37,40,29,34,35,33,27,35,32,28,22,24,29,31,33,27,25,30,24
55,46,40,38,40,32,35,38,33,27,36,33,28,23,25,30,31,36,28,28,31,24
58,49,40,41,41,35,38,41,34,27,36,33,28,26,25,31,32,36,28,28,34,27
59,52,43,44,44,36,39,42,35,30,37,34,28,29,25,31,32,36,31,28,35,27
62,55,43,45,44,39,39,45,36,30,37,35,29,32,28,32,35,36,32,29,35,28
65,58,44,46,47,40,39,46,36,33,38,36,29,33,29,33,35,37,33,30,36,29
68,58,44,46,50,43,42,46,39,34,41,39,32,33,29,33,35,38,36,30,39,29
69,58,47,49,50,46,42,49,40,34,41,42,33,36,32,33,38,39,37,31,39,29
72,58,48,52,51,47,43,49,40,37,44,43,36,36,35,36,39,40,38,31,39,29
72,61,51,53,52,50,46,52,40,37,45,43,37,37,36,36,40,40,38,32,42,32
73,62,54,54,53,51,46,52,41,40,48,46,40,40,36,36,43,43,38,32,42,32
74,62,55,55,54,52,49,53,42,41,48,46,43,41,39,37,46,44,41,33,42,32
77,65,58,55,57,55,50,53,45,42,48,46,43,41,42,37,46,45,44,36,42,33
77,68,61,58,58,55,53,53,48,42,48,49,46,42,42,40,46,48,44,39,42,33
80,68,61,59,59,56,56,54,48,45,49,52,46,43,45,43,47,48,45,39,42,36
81,69,64,60,60,56,57,55,51,46,52,52,49,43,45,44,48,48,48,42,42,37
84,69,64,63,61,59,60,55,52,49,52,53,50,46,48,44,49,49,48,43,43,37
84,70,67,63,64,60,60,58,55,52,55,53,50,49,48,47,50,50,48,44,43,38
84,70,68,66,64,63,63,61,55,55,55,53,53,52,51,50,50,50,48,45,43,41
