Vallecano,Huesca,Zaragoza,Sp Gijon,Valladolid,Numancia,Oviedo,Cadiz,Osasuna,Granada,Tenerife,Lugo,Alcorcon,Gimnastic,Reus Deportiu,Cordoba,Albacete,Almeria,Leonesa,Barcelona B,Lorca,Sevilla B
3,0,0,1,0,3,0,3,1,1,3,1,1,0,1,0,1,3,0,3,3,1
4,3,1,4,3,4,1,4,1,2,6,1,2,1,2,3,1,4,3,3,3,1
5,4,4,7,6,7,4,7,2,3,6,1,5,1,2,3,1,4,6,4,4,1
5,5,4,8,7,7,5,10,5,4,7,4,8,1,5,3,1,7,7,7,4,2
6,5,4,8,10,10,8,10,8,4,7,7,9,4,6,6,1,7,10,8,5,3
9,8,5,11,10,11,8,11,9,7,10,10,9,5,7,6,4,10,10,8,5,3
9,14,6,11,13,14,9,11,12,10,10,13,9,5,10,6,4,11,11,8,8,3
12,15,9,14,13,14,10,11,15,13,13,13,9,5,12,9,7,11,12,9,8,3
15,16,12,18,16,17,11,12,18,13,14,16,9,8,12,9,7,11,12,9,8,4
18,16,13,18,17,18,11,13,20,16,15,19,9,11,12,9,10,12,13,13,8,4
19,19,15,19,18,18,14,13,20,19,16,20,12,11,15,9,11,12,15,13,9,5
20,20,15,22,19,19,14,14,21,22,17,23,15,12,16,10,12,12,15,15,9,6
21,23,15,22,19,22,17,17,22,23,18,23,15,15,19,10,13,12,16,16,12,7
21,26,18,23,20,25,20,20,25,23,21,23,16,15,19,10,16,12,16,16,13,10
24,29,18,23,23,25,20,23,25,24,21,26,19,18,20,11,17,15,17,16,13,11
25,29,19,24,23,25,23,26,25,27,22,29,20,18,21,12,18,16,18,17,16,12
28,32,22,24,23,28,26,29,25,27,22,30,21,18,24,12,18,19,19,20,16,13
29,33,22,24,23,31,29,35,25,30,25,33,22,21,24,13,21,19,19,20,16,13
32,36,23,27,26,32,32,35,26,31,25,33,22,21,25,13,25,22,22,20,16,13
35,39,23,27,29,35,35,39,29,34,26,33,25,21,25,16,25,22,22,20,16,13
36,40,24,30,29,36,37,39,32,34,29,33,26,24,26,16,25,25,23,21,16,16
36,43,27,33,32,36,37,42,35,34,29,36,26,28,26,16,28,26,26,21,16,16
37,46,27,33,35,37,40,42,38,37,29,39,29,28,29,19,28,26,26,24,16,16
40,49,30,36,36,38,41,43,38,37,30,40,29,28,30,19,31,27,29,27,16,16
41,52,31,36,39,41,44,44,39,40,30,41,30,29,30,19,32,30,29,30,16,16
44,55,34,39,39,41,44,47,42,43,33,41,33,32,33,19,32,30,29,30,16,16
47,55,37,40,42,44,45,47,43,46,34,41,34,32,34,19,33,33,29,33,17,16
50,55,40,43,42,44,45,48,43,49,37,41,34,33,37,22,36,36,29,34,18,16
51,56,43,46,43,44,46,48,46,49,40,44,34,33,37,25,39,37,32,35,18,16
54,57,46,49,44,45,46,51,47,49,43,44,35,36,38,28,40,37,32,36,18,16
57,57,49,52,47,48,49,54,47,49,43,47,35,36,38,31,43,37,32,37,19,16
57,58,49,55,48,48,50,55,50,52,46,48,38,36,41,32,44,37,33,37,19,19
58,58,52,58,51,51,50,57,50,52,49,48,41,39,41,32,44,38,33,37,22,22
61,59,55,61,51,54,53,57,51,53,52,48,41,42,41,35,45,38,36,37,22,22
64,62,55,64,51,57,56,57,52,54,52,48,42,42,44,36,46,39,39,37,23,23
67,65,58,65,54,58,56,58,53,55,52,49,43,43,47,39,46,39,40,37,24,23
70,68,59,68,55,61,56,59,54,55,52,50,43,43,48,39,46,42,43,37,27,26
73,71,62,68,58,61,59,60,57,55,53,53,44,43,51,39,47,43,44,37,27,26
73,72,62,68,61,61,59,63,60,55,54,54,45,43,52,42,47,46,45,40,30,29
73,75,65,68,64,62,62,63,61,58,57,54,48,46,52,45,47,46,45,43,30,29
76,75,68,71,64,62,62,64,64,58,58,54,49,49,52,48,48,47,48,44,30,32
76,75,71,71,67,65,65,64,64,61,59,55,52,52,52,51,49,48,48,44,33,32
