Osasuna,Granada,Malaga,Albacete,Mallorca,La Coruna,Cadiz,Oviedo,Sp Gijon,Almeria,Elche,Las Palmas,Extremadura UD,Alcorcon,Zaragoza,Tenerife,Numancia,Lugo,Rayo Majadahonda,Gimnastic,Cordoba,Reus Deportiu
0,1,3,1,3,1,3,1,1,0,1,3,1,1,3,1,1,0,0,1,1,0
1,2,6,2,6,4,4,4,4,1,2,4,1,1,4,2,2,1,0,1,1,1
1,5,9,5,6,5,5,5,7,1,2,5,1,4,5,3,2,4,3,1,1,4
4,8,12,8,9,8,5,5,7,1,2,8,1,5,8,3,5,4,6,1,2,4
4,11,15,9,10,8,6,8,8,4,3,11,1,8,8,3,6,4,6,4,2,7
7,11,15,12,10,11,6,9,8,7,4,14,4,11,8,4,6,7,6,5,3,8
8,14,18,13,11,14,6,9,11,10,5,14,5,14,9,7,7,8,6,5,3,8
9,17,19,13,14,15,7,12,11,10,8,15,5,15,10,7,10,8,9,6,6,8
12,20,22,13,14,18,7,12,12,13,8,15,8,18,10,8,13,9,12,6,6,9
12,20,22,14,15,19,8,15,13,14,11,18,9,21,11,9,13,12,12,6,7,12
13,23,25,17,16,22,11,15,14,14,14,19,9,21,11,12,13,12,13,9,8,12
16,26,25,20,17,23,14,16,14,17,14,20,9,24,11,12,16,13,13,9,11,13
19,27,26,21,20,26,17,16,15,17,15,21,9,27,14,13,17,13,16,9,11,13
22,28,29,24,21,27,20,19,15,18,15,22,12,30,15,13,17,13,19,9,11,13
22,28,29,27,24,30,23,22,18,19,15,22,15,33,15,16,17,16,19,10,11,13
25,31,29,30,27,31,26,23,21,20,16,23,16,33,15,16,20,16,20,10,12,13
26,34,32,31,27,32,29,23,22,23,17,23,17,33,16,17,21,19,20,10,13,16
29,37,35,34,27,35,29,23,25,24,20,24,17,33,16,18,21,20,20,13,14,17
32,38,36,37,30,35,32,24,26,25,21,24,17,34,19,19,22,21,20,13,17,17
35,39,36,38,30,36,32,27,26,28,21,25,20,34,22,22,22,22,21,16,17,20
35,40,39,39,33,36,33,30,27,29,24,28,21,35,22,22,23,23,22,16,18,21
38,43,42,39,33,39,34,33,30,30,24,31,21,35,23,25,26,23,23,16,18,21
41,44,43,42,34,42,35,33,30,30,25,32,22,38,26,26,27,26,23,17,18,21
44,44,44,45,37,43,35,36,33,31,28,33,22,38,27,27,30,26,26,17,18,21
47,44,45,48,37,46,38,39,33,34,28,34,23,38,30,27,30,26,27,20,21,21
48,47,48,49,40,47,41,42,33,37,31,37,23,38,31,27,31,26,27,21,21,21
51,50,49,50,41,48,44,43,33,40,32,37,23,41,31,28,34,27,30,21,21,21
54,53,50,50,42,49,47,44,36,43,33,38,24,42,31,31,34,28,30,21,22,21
57,56,50,50,45,49,47,44,39,43,36,41,27,42,31,32,35,31,33,24,22,21
60,57,51,53,48,52,48,47,42,44,36,41,27,43,34,33,36,32,33,24,22,21
60,58,54,56,51,53,49,47,45,45,39,42,30,43,34,36,36,32,36,24,23,21
63,58,55,57,51,54,52,48,46,46,42,42,30,44,37,37,39,33,37,24,26,21
64,61,55,60,54,54,53,49,49,46,45,43,33,44,38,37,39,34,40,27,26,21
67,61,55,61,55,54,56,52,52,49,46,43,36,47,38,40,40,37,40,27,26,21
70,64,58,64,58,54,59,53,53,52,46,43,39,47,41,40,40,37,40,28,27,21
73,67,58,64,61,57,60,56,54,52,47,46,42,50,44,40,40,37,41,28,27,21
74,68,59,65,64,60,61,57,54,52,50,46,45,51,44,43,41,40,41,28,30,21
77,71,62,68,64,61,62,57,55,55,50,49,45,51,47,43,44,41,41,31,30,21
78,74,65,68,67,61,63,60,55,55,53,52,48,51,50,43,44,44,41,31,33,21
81,75,68,71,67,64,64,60,55,56,54,52,49,52,50,46,47,45,42,32,34,21
84,76,71,71,68,65,64,63,58,57,55,53,52,52,51,47,48,46,42,35,34,21
87,79,74,71,69,68,64,63,61,60,55,54,53,52,51,50,49,47,45,36,34,21
