Huesca,Cadiz,Zaragoza,Almeria,Girona,Elche,Vallecano,Fuenlabrada,Alcorcon,Las Palmas,Mirandes,Tenerife,Sp Gijon,Oviedo,Malaga,Albacete,Lugo,La Coruna,Ponferradina,Numancia,Extremadura UD,Santander
3,3,3,3,1,0,1,3,3,0,1,0,1,0,3,0,1,3,0,0,1,0
6,6,4,4,1,3,2,6,3,1,1,3,2,1,4,3,2,3,1,0,1,1
6,9,7,7,4,3,5,9,6,2,1,3,5,1,4,3,2,3,4,3,1,2
9,12,10,10,7,4,5,10,6,3,4,4,5,1,4,6,3,3,5,4,2,2
9,15,13,13,7,7,8,10,7,3,5,7,6,1,5,6,6,4,6,7,2,2
9,15,13,16,7,8,9,10,11,6,6,8,6,2,6,9,7,5,7,8,3,5
12,16,14,17,10,9,10,13,11,9,6,8,7,2,6,12,8,6,10,9,3,6
15,19,15,17,10,12,11,14,11,9,7,11,8,3,7,13,8,7,10,10,6,8
15,22,16,17,13,12,12,14,12,12,8,11,11,6,8,16,9,7,10,13,9,8
18,25,16,18,16,13,16,17,12,15,8,11,11,7,8,16,9,8,13,14,12,8
19,28,19,19,16,16,16,20,15,18,11,11,11,10,8,16,10,8,14,14,13,9
19,31,19,20,16,16,19,20,16,18,14,12,14,13,11,19,13,8,15,15,13,10
22,31,19,23,17,16,19,23,17,18,15,13,17,13,14,22,13,9,18,18,13,11
23,34,22,24,20,19,19,24,20,18,15,14,17,14,14,22,16,10,21,21,13,11
26,35,23,25,23,22,20,25,21,19,18,14,17,14,15,22,19,10,22,24,13,12
26,36,23,26,24,23,21,28,24,19,21,15,18,15,15,25,20,10,23,25,16,13
29,39,26,29,27,24,21,28,25,22,24,18,18,15,16,25,20,11,23,25,16,16
32,39,27,32,28,27,21,31,25,25,25,18,19,18,17,26,21,12,24,26,16,16
32,40,30,35,31,28,24,32,25,28,25,18,22,21,20,27,21,12,24,26,17,17
32,43,33,36,31,28,24,33,26,31,28,19,25,21,21,27,21,15,27,29,18,17
35,43,33,36,31,31,25,34,28,32,31,19,25,22,22,27,22,15,30,32,22,18
36,44,36,39,31,32,28,35,28,33,32,22,25,23,26,27,22,18,31,32,22,19
39,45,39,42,34,32,31,37,29,33,33,22,28,23,27,28,22,21,31,33,22,19
43,48,39,45,34,33,32,37,30,34,33,25,28,24,27,28,25,24,32,36,22,20
43,48,42,45,35,36,33,37,33,35,34,29,31,25,28,28,25,27,32,36,26,20
43,52,43,46,38,39,34,37,34,35,35,29,31,28,28,28,25,30,35,37,26,24
46,52,44,46,42,40,35,38,34,35,36,32,32,29,31,29,26,34,36,37,26,24
46,52,48,46,42,40,36,38,37,36,38,33,38,29,34,30,29,34,37,38,27,24
46,52,51,47,45,40,39,39,38,38,38,36,38,29,38,33,32,34,37,38,30,24
47,56,52,47,46,43,40,39,41,38,39,36,38,32,38,34,34,35,40,38,31,25
50,56,55,50,47,46,43,39,41,38,42,39,41,35,38,35,34,35,40,38,31,28
53,57,55,53,48,47,44,42,44,39,45,39,42,36,38,35,37,36,41,38,32,28
53,60,58,53,49,47,47,42,44,42,48,40,45,37,39,38,37,37,44,38,32,29
54,61,58,56,49,50,48,45,45,45,48,43,45,40,40,39,37,38,47,38,33,29
55,62,61,56,52,50,49,46,48,46,48,46,46,41,41,40,38,41,48,38,33,30
58,62,61,57,52,51,49,47,51,47,49,49,49,41,44,43,38,44,48,41,34,30
61,63,61,60,55,52,50,50,52,47,49,50,49,44,45,44,41,45,48,41,37,30
61,66,61,60,56,55,53,51,53,50,50,53,50,44,46,45,42,48,48,44,37,30
64,69,62,60,59,55,56,54,53,50,53,54,51,47,49,46,45,48,48,44,37,30
64,69,62,63,60,58,56,57,54,53,53,55,54,50,49,46,46,48,48,47,40,33
67,69,62,63,63,58,57,60,54,54,56,55,54,53,52,49,49,48,51,47,43,33
70,69,65,64,63,61,60,60,57,57,56,55,54,53,53,52,52,51,51,50,43,33
