Espanol,Mallorca,Leganes,Almeria,Girona,Vallecano,Sp Gijon,Ponferradina,Las Palmas,Fuenlabrada,Mirandes,Malaga,Tenerife,Oviedo,Alcorcon,Cartagena,Zaragoza,Lugo,Sabadell,Logrones,Castellon,Albacete
3,0,3,0,0,6,3,0,0,3,1,3,3,1,1,1,0,0,0,0,3,0
4,1,3,0,0,6,9,3,2,4,2,6,3,2,4,1,1,3,0,1,4,0
7,7,6,3,0,6,9,9,2,7,5,6,3,3,5,1,2,3,0,1,4,1
13,7,6,3,0,9,12,9,5,10,8,6,6,3,5,4,2,3,0,4,7,1
13,10,6,3,3,9,12,9,9,12,8,7,6,6,5,8,5,6,0,4,8,4
16,11,9,4,6,12,13,12,12,12,9,10,7,6,5,9,5,9,0,4,8,4
16,12,15,7,9,13,16,12,12,13,9,13,7,7,5,12,5,12,0,5,8,5
20,15,15,10,12,13,19,12,13,13,10,14,8,7,5,12,6,12,1,8,8,9
20,19,15,11,13,16,19,12,13,13,13,14,9,10,5,15,7,16,7,8,8,9
23,19,19,14,14,16,22,15,13,14,16,14,10,10,5,15,8,16,7,14,8,10
27,22,19,20,15,16,22,15,14,18,16,17,13,16,5,15,8,16,7,14,8,10
27,25,25,20,18,17,23,16,17,18,16,18,13,16,8,15,8,19,7,17,11,10
27,26,25,23,18,20,24,19,17,19,19,21,13,18,11,15,8,20,10,20,11,10
27,29,28,26,18,23,27,20,17,20,23,22,13,18,14,15,8,21,10,23,12,10
30,32,28,29,21,24,27,23,20,23,23,25,16,18,14,16,8,21,10,23,15,10
33,35,31,29,21,27,28,27,22,23,24,25,16,19,15,16,8,23,13,23,15,11
36,38,32,35,27,27,28,27,22,23,24,25,17,22,16,19,11,23,14,23,15,11
39,41,32,38,28,28,31,27,23,23,27,25,17,25,17,19,11,26,17,23,18,11
42,41,33,38,28,31,32,30,23,26,27,26,20,25,20,19,14,26,18,24,19,14
42,42,34,41,29,34,33,30,26,27,27,27,23,26,20,20,15,27,19,27,19,15
45,42,34,41,30,37,36,31,29,28,27,28,26,27,21,20,18,28,20,27,19,18
45,45,34,42,33,37,36,34,32,28,30,28,26,28,21,20,21,31,21,28,22,21
45,51,37,45,33,40,37,34,32,29,33,31,27,28,21,21,21,31,22,29,22,24
46,51,40,46,33,40,40,37,32,30,36,31,30,28,21,24,25,32,26,29,22,24
49,51,46,49,34,41,43,37,32,33,37,31,33,31,24,25,25,32,26,29,22,24
52,54,49,49,37,41,46,40,35,34,37,34,33,32,27,25,25,33,26,30,22,24
53,57,49,52,38,42,47,41,35,35,40,34,36,35,27,28,25,33,27,30,25,25
54,60,50,55,38,43,48,42,36,36,40,37,36,36,30,28,28,34,27,31,26,26
55,60,53,56,39,46,51,43,39,36,41,40,39,36,31,29,28,35,27,31,29,26
58,61,53,56,42,49,52,46,39,39,41,41,40,37,31,29,31,36,28,31,30,29
61,61,54,60,45,49,53,47,40,42,41,42,41,38,32,30,32,36,31,32,30,29
64,64,54,60,46,52,56,48,43,42,41,42,41,39,33,31,33,36,32,36,33,29
67,65,57,60,49,52,56,49,44,43,44,45,44,39,33,34,36,36,32,36,36,29
70,68,57,60,52,55,56,49,45,43,47,48,44,40,36,35,39,36,33,39,36,29
71,68,58,61,52,56,56,50,46,44,48,49,46,43,39,36,39,36,34,40,39,32
74,68,61,62,55,57,57,53,46,47,49,49,47,43,39,39,40,36,37,40,40,33
77,71,62,63,58,57,58,53,49,50,49,49,47,44,42,39,41,37,40,41,41,33
78,72,63,66,61,58,61,53,50,50,52,50,47,47,43,42,42,37,40,41,41,36
78,75,66,67,64,61,61,56,50,50,52,50,50,50,43,45,45,40,40,41,41,37
81,78,67,67,67,64,64,56,50,50,53,50,50,50,46,48,48,41,40,44,41,38
82,81,70,70,70,67,65,56,53,51,54,50,51,51,46,48,48,44,43,44,41,38
82,82,73,73,71,67,65,57,56,54,54,53,52,52,49,49,48,47,46,44,41,38
