Almeria,Valladolid,Eibar,Las Palmas,Tenerife,Girona,Oviedo,Ponferradina,Cartagena,Zaragoza,Burgos,Leganes,Huesca,Mirandes,Ibiza,Lugo,Sp Gijon,Malaga,Amorebieta,Sociedad B,Fuenlabrada,Alcorcon
3,1,0,1,3,3,1,3,0,1,0,0,3,1,1,1,3,1,0,3,0,0
6,4,0,2,4,4,1,6,0,1,1,1,6,4,2,2,4,2,0,4,3,0
6,7,3,5,5,4,2,9,3,1,1,1,6,4,5,2,7,5,3,5,4,0
9,7,4,5,8,4,5,9,6,4,4,2,6,7,6,3,10,5,4,5,5,0
9,7,7,6,11,4,8,12,6,5,5,2,6,7,7,6,13,8,5,5,6,3
12,7,10,7,11,7,9,15,9,6,6,5,7,10,8,6,13,8,5,6,7,3
15,10,11,10,11,8,10,15,9,7,6,8,10,10,11,7,16,8,6,6,10,3
18,11,14,13,14,8,11,16,9,8,9,9,10,10,11,8,17,11,7,9,10,3
19,12,15,14,17,8,12,17,12,9,9,9,11,11,11,11,18,12,7,10,13,6
19,15,18,17,17,8,13,18,15,10,10,9,14,14,11,12,21,13,7,11,14,6
22,16,21,17,17,11,13,19,18,11,13,10,15,14,12,15,21,14,8,11,15,7
25,19,24,20,20,12,16,19,18,12,16,10,15,14,15,15,21,17,8,14,15,7
28,22,24,23,23,15,19,22,18,13,16,10,16,15,18,16,22,17,9,14,15,7
31,22,27,26,24,18,19,23,19,16,16,11,17,18,19,16,22,20,12,14,15,7
34,25,28,27,27,18,20,26,22,19,16,14,17,18,22,16,22,20,13,14,16,8
37,28,31,27,27,21,21,26,22,22,19,15,20,18,22,19,22,23,13,17,16,8
40,28,32,27,30,24,24,29,25,22,19,18,21,19,23,20,22,26,13,17,17,8
41,31,35,27,33,24,25,32,25,23,22,21,22,20,23,21,23,26,14,17,18,9
42,31,35,30,34,27,28,35,26,26,25,21,25,20,24,22,23,26,17,17,19,9
45,34,36,31,35,28,28,36,27,26,28,22,26,23,25,23,24,27,18,17,19,10
45,37,42,31,38,31,29,37,30,26,28,25,27,23,25,23,27,27,19,17,20,11
45,40,42,34,39,34,32,37,33,26,29,25,27,26,28,24,28,30,21,17,20,11
46,43,43,35,39,37,33,38,33,27,29,26,30,26,31,30,29,31,21,18,20,11
46,44,46,35,42,38,33,41,36,28,32,26,30,27,34,31,32,31,21,18,23,12
46,47,49,36,45,38,36,41,39,29,32,29,30,30,35,34,32,31,24,19,23,12
49,48,52,39,46,41,37,41,39,30,35,30,33,30,35,35,32,32,25,20,24,12
52,49,53,39,49,42,38,44,39,30,38,33,34,30,38,36,35,32,26,20,25,12
55,52,56,39,52,42,41,47,39,33,38,36,37,30,38,36,35,32,26,23,26,13
58,55,59,40,52,43,41,48,40,36,38,37,37,33,41,37,35,33,26,26,26,14
58,58,59,41,52,46,41,49,43,39,41,40,38,33,42,40,35,36,26,29,26,14
59,58,62,41,55,49,44,50,43,42,42,41,38,36,43,41,35,37,26,30,26,17
62,58,63,44,55,52,45,51,46,42,42,42,41,39,43,42,36,37,27,30,29,18
62,61,66,47,55,55,48,51,46,43,45,42,44,42,44,42,39,37,28,31,29,18
63,64,67,50,56,58,51,51,46,44,46,45,45,43,44,42,40,37,31,31,29,21
66,65,67,53,59,58,54,51,46,47,46,45,48,46,47,45,41,38,31,31,29,22
67,66,68,54,62,61,57,54,49,48,49,45,49,46,47,45,41,41,34,31,29,22
70,69,71,55,63,61,60,57,52,49,50,46,50,46,48,46,41,41,34,34,29,22
73,69,74,58,66,64,63,60,52,49,50,49,50,46,51,46,41,41,37,37,29,22
76,72,74,61,69,64,64,63,53,49,50,50,51,46,52,47,42,42,37,40,29,25
79,75,77,64,69,64,65,63,54,50,51,50,51,49,52,47,45,45,40,40,32,25
80,78,80,67,69,67,65,63,57,53,54,53,54,49,52,47,46,45,40,40,33,26
81,81,80,70,69,68,68,63,60,56,55,54,54,52,52,50,46,45,43,40,33,29
