Leganes,Valladolid,Eibar,Espanol,Sp Gijon,Santander,Oviedo,Levante,Ferrol,Elche,Burgos,Tenerife,Albacete,Cartagena,Zaragoza,Eldense,Mirandes,Huesca,Amorebieta,Alcorcon,Andorra,Villarreal B
0,3,0,1,0,3,0,1,3,0,1,3,1,0,3,3,3,1,1,0,3,0
3,3,3,4,3,3,1,4,4,0,1,6,2,0,6,3,3,1,2,0,6,3
6,3,3,7,3,4,1,7,7,3,4,6,2,0,9,6,3,2,5,3,6,3
9,3,3,10,6,5,2,8,8,4,4,9,5,3,12,6,4,3,5,4,6,3
12,4,3,13,7,8,3,8,9,5,7,12,5,3,15,7,7,3,5,5,6,4
12,7,6,14,10,9,3,11,9,8,7,12,8,3,16,8,7,4,8,5,9,5
15,10,9,14,11,12,3,14,12,8,10,15,8,3,16,8,7,7,8,5,10,8
18,13,12,17,14,12,6,15,12,9,10,15,11,4,16,8,10,7,9,6,10,9
18,16,15,20,17,12,9,16,15,9,13,18,14,4,19,8,10,7,9,6,10,10
19,19,18,20,17,15,10,19,16,12,13,21,14,5,19,11,10,7,9,9,10,13
22,19,19,23,18,18,13,22,16,13,16,22,14,5,20,12,11,8,9,9,13,13
25,22,22,23,21,21,14,23,17,16,16,23,14,6,20,13,14,8,10,10,13,13
28,22,25,23,24,21,17,23,20,19,17,23,15,6,21,16,17,9,10,10,16,13
31,25,26,24,27,21,18,24,23,20,17,23,16,6,22,19,18,12,10,13,16,13
34,28,27,25,28,21,19,24,26,23,20,23,17,7,22,22,18,13,11,13,16,16
35,29,27,28,29,24,22,24,27,23,21,23,18,8,22,23,19,16,14,14,17,17
36,32,30,31,32,27,22,24,28,26,22,24,21,9,22,23,22,16,14,14,18,17
36,32,30,31,32,28,25,27,31,29,25,27,21,12,25,23,23,16,14,14,21,20
37,35,31,32,33,29,26,28,31,29,26,30,24,15,26,24,24,19,14,14,22,20
38,35,31,33,34,30,29,31,34,29,29,30,24,15,27,25,27,19,15,17,23,23
39,35,32,34,35,33,30,32,37,30,30,31,25,15,28,26,28,22,15,20,23,24
42,35,35,35,36,33,31,35,38,33,33,31,25,18,29,27,29,23,16,21,23,24
45,36,38,38,39,33,34,36,38,34,33,31,25,21,32,30,30,23,16,24,23,24
45,39,41,38,39,33,37,37,41,37,36,32,25,24,33,33,30,24,16,25,23,25
46,40,42,41,39,36,38,37,42,40,36,33,26,25,36,34,33,27,16,25,24,25
47,41,45,41,42,39,38,38,42,40,39,33,27,28,36,35,33,28,19,28,24,28
50,42,46,44,43,39,41,39,43,41,39,36,30,31,36,35,33,29,20,28,25,29
50,45,46,47,46,42,41,39,43,44,42,37,31,31,37,38,33,32,21,29,25,30
50,45,49,48,46,43,44,39,44,47,45,40,31,31,37,41,33,36,24,29,28,30
53,48,49,49,46,46,47,43,44,50,48,40,31,34,37,41,36,36,24,30,29,30
56,48,52,52,49,47,48,44,47,53,49,41,31,35,37,42,36,37,27,30,29,30
59,51,52,53,49,50,48,47,48,53,49,42,32,38,38,42,37,40,30,33,29,30
60,52,55,54,49,53,51,48,51,53,50,42,33,39,41,42,37,41,31,34,32,30
61,55,55,57,52,53,54,51,51,53,50,45,33,39,41,42,37,42,34,37,35,33
62,58,58,58,55,53,55,51,54,54,53,45,36,39,42,42,38,42,37,40,35,33
63,61,61,59,55,54,55,52,54,57,53,46,39,42,45,42,41,42,37,40,36,36
64,64,61,60,55,55,55,52,54,58,54,49,42,45,46,43,44,42,38,41,37,39
67,67,64,61,56,58,58,55,54,58,57,52,45,48,46,43,44,42,38,41,37,39
67,68,65,62,59,61,61,56,57,58,57,52,48,51,46,46,44,45,41,41,37,39
70,69,68,65,59,64,61,57,58,59,57,52,49,51,47,47,45,45,44,42,40,40
71,72,68,66,62,64,64,58,59,59,58,53,50,51,50,50,46,48,45,43,40,40
74,72,71,69,65,64,64,59,59,59,59,56,51,51,51,50,49,49,45,44,43,43
