Levante,Elche,Oviedo,Mirandes,Santander,Almeria,Granada,Huesca,Albacete,Eibar,Sp Gijon,Cordoba,Cadiz,Burgos,La Coruna,Castellon,Malaga,Zaragoza,Eldense,Tenerife,Ferrol,Cartagena
3,0,3,3,1,1,0,3,3,3,0,0,0,3,0,0,1,3,3,0,1,0
4,0,4,4,2,4,3,6,6,4,1,1,1,4,0,1,2,6,4,0,1,0
5,3,4,5,5,5,3,9,6,5,2,1,2,4,3,4,5,7,4,1,1,3
8,3,4,6,8,5,4,9,6,8,5,2,5,7,4,4,6,10,7,1,2,3
11,4,7,9,11,5,5,9,6,11,5,5,6,10,4,7,9,10,7,1,3,3
11,7,8,9,14,6,6,12,9,12,6,5,9,13,4,7,10,13,8,2,3,3
14,10,11,12,14,6,7,12,9,12,9,8,9,14,7,10,10,13,11,2,3,6
15,10,12,12,17,9,10,15,10,12,12,9,9,14,8,13,11,13,11,5,6,6
15,11,15,15,20,9,13,16,11,15,15,9,10,14,9,13,12,16,11,5,9,6
15,14,16,18,23,12,16,17,14,15,15,12,10,14,10,16,13,16,12,5,10,6
18,15,19,18,26,15,19,17,14,18,18,12,10,15,10,16,14,19,12,6,11,7
21,18,19,21,29,16,19,18,15,18,19,15,13,15,10,19,17,19,12,7,12,7
21,21,22,22,30,19,22,18,16,18,22,15,14,15,13,19,20,22,12,10,12,7
22,22,23,25,36,19,25,19,17,21,25,16,14,15,16,20,20,23,12,10,12,7
23,22,26,25,36,25,25,19,17,21,25,17,17,18,16,20,21,25,18,10,13,10
26,25,26,28,37,28,26,23,20,21,26,17,18,18,17,22,22,25,18,10,14,10
29,26,26,34,37,31,26,23,23,24,29,17,18,18,20,25,22,25,19,11,15,10
29,29,29,34,37,35,29,26,24,24,29,20,18,21,21,26,23,26,19,11,15,13
31,30,32,34,37,35,32,29,25,27,29,21,21,22,21,29,24,26,20,11,18,13
31,33,35,35,37,38,33,32,26,28,30,24,22,23,24,29,27,26,20,11,18,14
35,36,35,38,38,39,34,33,26,28,30,27,23,27,24,29,30,29,21,11,18,14
36,39,39,38,39,42,34,36,27,31,31,27,24,27,25,29,31,29,21,14,19,15
39,43,39,41,42,43,34,37,28,32,32,30,27,27,28,29,31,30,21,15,19,15
42,43,42,41,45,43,40,40,31,32,32,30,30,27,29,29,31,33,24,16,19,15
42,43,43,44,48,44,40,43,34,32,35,33,31,27,32,29,31,34,24,19,22,15
43,46,44,48,48,44,41,46,34,33,36,33,34,30,35,32,32,34,25,19,22,15
44,47,47,48,48,45,42,47,34,33,37,36,37,33,35,35,38,34,28,19,22,15
47,50,50,48,49,46,43,48,34,37,38,39,38,33,36,36,38,35,31,19,22,15
50,50,50,51,52,47,43,51,37,37,39,42,38,36,39,39,39,36,31,19,22,15
53,53,50,54,53,47,46,51,37,40,40,43,41,39,40,39,39,36,34,22,22,15
56,54,51,55,56,50,46,51,40,41,41,44,44,42,41,40,39,36,35,22,23,15
59,57,51,58,56,50,49,51,43,44,41,45,44,45,42,40,42,37,35,25,23,16
59,60,54,58,59,53,49,54,46,45,41,45,45,46,45,41,42,37,36,28,23,17
62,63,55,58,59,53,52,54,47,46,41,48,45,49,48,42,42,40,39,31,23,17
63,66,58,59,60,56,55,57,47,47,44,49,45,50,49,43,42,41,39,32,23,17
66,67,59,59,63,56,58,57,48,48,47,50,46,51,50,46,43,41,39,33,26,17
66,68,62,62,66,59,59,58,51,49,47,51,49,51,50,46,46,42,40,34,26,17
67,71,65,65,66,62,59,58,51,49,47,54,49,51,53,49,49,45,40,35,26,20
70,71,66,68,67,62,59,58,54,52,50,54,52,54,53,49,49,48,43,36,27,20
73,71,69,71,67,65,62,61,54,55,50,54,52,54,53,50,52,48,44,36,30,23
76,74,72,72,68,66,65,61,57,58,53,54,55,54,53,50,52,51,45,36,30,23
79,77,75,75,71,69,65,64,58,58,56,55,55,55,53,53,53,51,45,36,30,23
